data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2020-12-01 01:33:08.762;101;EMEI JP CANTINHO AMIGO                                  ;0;0;0;90;0;90;0;0;0;0;0;0;0;90
2020-12-01 01:33:08.763;102;EMEI JP CIRANDINHA                                      ;0;0;0;36;0;36;0;0;0;0;0;0;0;36
2020-12-01 01:33:08.764;103;EMEI JP GIRAFINHA                                       ;0;0;0;65;0;65;0;0;0;0;0;0;0;65
2020-12-01 01:33:08.765;104;EMEI JP MEU AMIGUINHO                                   ;12;0;12;40;0;40;0;0;0;0;0;0;0;52
2020-12-01 01:33:08.766;105;EMEI JP PASSARINHO DOURADO                              ;0;0;0;0;40;40;0;0;0;0;0;0;0;40
2020-12-01 01:33:08.767;106;EMEI JP PATINHO FEIO                                    ;6;0;6;53;0;53;0;0;0;0;0;0;0;59
2020-12-01 01:33:08.768;107;EMEI JP PICA-PAU AMARELO                                ;0;0;0;62;0;62;0;0;0;0;0;0;0;62
2020-12-01 01:33:08.769;108;EMEI BAIRRO CAVALHADA                                   ;0;37;37;0;48;48;0;0;0;0;0;0;0;85
2020-12-01 01:33:08.770;109;EMEI ÉRICO VERÍSSIMO                                    ;0;96;96;0;95;95;0;0;0;0;0;0;0;191
2020-12-01 01:33:08.771;110;EMEI JARDIM BENTO GONÇALVES                             ;0;40;40;0;47;47;0;0;0;0;0;0;0;87
2020-12-01 01:33:08.772;111;EMEI DO JARDIM SALOMONI                                 ;0;57;57;0;45;45;0;0;0;0;0;0;0;102
2020-12-01 01:33:08.773;112;EMEI DA VILA MAX GEISS                                  ;0;70;70;0;48;48;0;0;0;0;0;0;0;118
2020-12-01 01:33:08.775;113;EMEI MARIA HELENA CAVALHEIRO GUSMÃO                     ;0;44;44;0;38;38;0;0;0;0;0;0;0;82
2020-12-01 01:33:08.776;115;EMEI VALE VERDE                                         ;0;56;56;0;47;47;0;0;0;0;0;0;0;103
2020-12-01 01:33:08.777;116;EMEI DA VILA ELIZABETH                                  ;0;57;57;0;45;45;0;0;0;0;0;0;0;102
2020-12-01 01:33:08.778;117;EMEI DA VILA FLORESTA                                   ;0;58;58;0;45;45;0;0;0;0;0;0;0;103
2020-12-01 01:33:08.779;118;EMEI MARIA MARQUES FERNANDES                            ;0;57;57;0;72;72;0;0;0;0;0;0;0;129
2020-12-01 01:33:08.780;119;EMEI VILA NOVA                                          ;0;57;57;0;48;48;0;0;0;0;0;0;0;105
2020-12-01 01:33:08.781;120;EMEI DOM LUIZ DE NADAL                                  ;0;72;72;0;95;95;0;0;0;0;0;0;0;167
2020-12-01 01:33:08.782;121;EMEI FLORÊNCIA VURLOD SOCIAS                            ;0;104;104;0;93;93;0;0;0;0;0;0;0;197
2020-12-01 01:33:08.783;122;EMEI DA VILA NOVA RESTINGA                              ;0;106;106;0;96;96;0;0;0;0;0;0;0;202
2020-12-01 01:33:08.784;123;EMEI DA VILA DA PÁSCOA                                  ;0;20;20;0;45;45;0;0;0;0;0;0;0;65
2020-12-01 01:33:08.785;124;EMEI DA VILA TRONCO                                     ;0;51;51;0;60;60;0;0;0;0;0;0;0;111
2020-12-01 01:33:08.786;125;EMEI DR WALTER SILBER                                   ;0;40;40;0;108;108;0;0;0;0;0;0;0;148
2020-12-01 01:33:08.788;126;EMEI DOS MUNICIPÁRIOS TIO BARNABÉ                       ;0;73;73;0;47;47;0;0;0;0;0;0;0;120
2020-12-01 01:33:22.877;127;EMEI PARQUE DOS MAIAS II                                ;0;58;58;0;48;48;0;0;0;0;0;0;0;106
2020-12-01 01:33:22.878;128;EMEI DA VILA NOVA SÃO CARLOS                            ;0;51;51;0;71;71;0;0;0;0;0;0;0;122
2020-12-01 01:33:22.879;129;EMEI DA VILA MAPA II                                    ;0;57;57;0;95;95;0;0;0;0;0;0;0;152
2020-12-01 01:33:22.880;130;EMEI ILHA DA PINTADA                                    ;0;20;20;0;108;108;0;0;0;0;0;0;0;128
